Term,Course,Section,Cr,Days,Times,Title,DistReq,Diversity,Room,Reg,Max,Exam,Faculty
Spring,GS198,A,1,R,12:00n -12:50pm,Water and Human Rights: A Reading Group,, , ,21,20, ,"Carlson    Dionne     Fleming    Maurer     McClenacha Meredith   Rasher     Reardon, E  Walker     "
Spring,GS211,A,4,T, 1:00pm- 3:30pm,Human Rights and Social Justice in Global Perspective,W2, ,DIAM 343,18,18,7,Razsa      
Spring,GS316,A,4,M, 1:00pm- 3:30pm,Religion and Social Change in Contemporary Africa,, ,DIAM 343,9,15,0,Halvorson  
Spring,GS455,A,4,R, 1:00pm- 3:30pm,Intervention: The Ethics and Politics of Humanitarianism,S, ,DIAM 343,12,12,0,Halvorson  
Spring,HI112,A,4,TR,11:00am-12:15pm,Revolutions of Modern Europe,H,I ,OLIN 001,36,40,6,Hollander  
Spring,HI120D,A,4,TR, 9:30am-10:45am,Spotlight on History: Becoming Chinese American,"H,W1",U ,LOVE 212,17,16, ,"Parker, La "
Spring,HI131,A,4,MWF,10:00am-10:50am,"Survey of U.S. History, to 1865",H,U ,LOVE 205,37,40,11,"Reardon, E "
Spring,HI184,A,4,TR, 8:00am- 9:15am,History of the Modern Middle East,H,I ,MILL 014,37,40,13,Turner     
Spring,HI211,A,4,TR, 9:30am-10:45am,"Lawgivers, Pharaohs, and Philosophers: Ancient Civilizations",H, ,MILL 008,20,30,0,"Taylor, L  "
Spring,HI228,A,4,TR,11:00am-12:15pm,The Russian Empire: Soviet History and 20th-Century Revolutions,H,I ,MILL 008,25,30,0,Josephson  
Spring,HI232,A,4,MWF, 9:00am- 9:50am,"American Women's History, 1870 to the Present",H,U ,LOVE 119,19,30,0,Leonard    
Spring,HI234,A,4,WF, 1:00pm- 2:15pm,Native Americans since 1850,H,U ,LOVE 213,23,30,0,"Reardon, E "
Spring,HI246,A,4,TR, 9:30am-10:45am,Luddite Rantings: A Historical Critique of Big Technology,H,U ,LOVE 215,37,30,0,Josephson  
Spring,HI255,A,4,TR,11:00am-12:15pm,"Histories of Southeast Asia: Slavery, Diasporas, and Revolutions",H,I ,LOVE 208,26,30,6,vanderMeer 
Spring,HI276,A,4,TR, 9:30am-10:45am,Patterns and Processes in World History,H, ,MILL 014,25,30,0,Duff       
Spring,HI298,A,4,TR, 1:00pm- 2:15pm,"Introduction to African History, 1800 to 1994",H,I ,LOVE 213,19,20,0,Duff       
Spring,HI320,A,4,T, 1:00pm- 3:30pm,"Joan of Arc: History, Legend, and Film",H,I ,MILL 014,13,20,0,"Taylor, L  "
Spring,HI362,A,4,TR, 2:30pm- 3:45pm,History of Egypt,H,I ,MILL 257,11,20,9,Turner     
Spring,HI377,A,4,M, 1:00pm- 3:30pm,"Imperialism, Decolonization, and Modernity in Southeast Asia",H,I ,MILL 319,6,20,0,vanderMeer 
Spring,HI398A,A,4,MW, 2:30pm- 3:45pm,Minorities in East Asia,H,I ,LOVE 302,5,20,0,Shmagin    
Spring,HI398B,A,4,W, 1:00pm- 3:30pm,South African Women's Memoir,H,I ,ALCM 205,4,20,0,Duff       
Spring,HI398C,A,4,TR, 2:30pm- 3:45pm,Weimar Culture: Germany Between the World Wars,H, ,MILL 008,7,20,0,Hollander  
Spring,HI435,A,4,M, 1:00pm- 3:30pm,Research Seminar: The American Civil War,H,U ,MILL 257,6,15,0,Leonard    
Spring,IT126,A,4,MTWR,10:00am-10:50am,Italian II,, ,LOVE 207,17,19,17,"Rizzo, G   "
Spring,IT126,B,4,MTWR,11:00am-11:50am,Italian II,, ,LOVE 207,13,19,17,Parodi     
Spring,IT128,A,4,MWF, 9:00am- 9:50am,Italian through Film and Visual Culture,, ,LOVE 319,5,10,9,Ferrando   
Spring,IT141,A,4,MW,11:00am-12:15pm,"Introduction to Italian Literary Studies: Poets, Lovers, Revolutionaries",L, ,LOVE 246,2,20,0,Ferrando   
Spring,IT235,A,1,M, 6:00pm- 6:50pm,Italian Conversation,, ,LOVE 203,9,20, ,Parodi     
Spring,IT356,A,4,MW,11:00am-12:15pm,Introduction to Dante's <I>Divine Comedy</I> (in English),L, ,LOVE 208,12,15,1,"Rizzo, G   "
Spring,JA126,A,5,MTWRF, 9:00am- 9:50am,Elementary Japanese II,, ,LOVE 307,10,25,8,"Shmagin, M "
Spring,JA126,B,5,MTWRF, 9:00am- 9:50am,Elementary Japanese II,, ,LOVE 203,16,25,8,"Yoshida, J "
Spring,JA128,A,4,MTWR,10:00am-10:50am,Intermediate Japanese II,, ,LOVE 423,5,19,11,Abe        
Spring,JA135,A,1,M, 5:00pm- 5:50pm,Conversational Japanese I,, ,LOVE 307,9,20, ,KawashimaM 
Spring,JA135,B,1,M, 6:00pm- 6:50pm,Conversational Japanese I,, ,LOVE 307,9,20, ,KawashimaM 
Spring,JA235,A,1,,TBA,Conversational Japanese II,, , ,4,20, ,KawashimaM 
Spring,JA322,A,4,MWF, 1:00pm- 1:50pm,Third-Year Japanese,, ,LOVE 423,6,19,4,"Yoshida, J "
Spring,JA335,A,1,,TBA,Conversational Japanese III,, , ,6,19, ,KawashimaM 
Spring,JA422,A,4,TR,11:00am-12:15pm,Fourth-Year Japanese,, ,LOVE 423,4,19,6,Abe        
Spring,JS126,A,3,MWR,10:00am-10:50am,Hebrew II,, ,LOVE 102,3,18,2,Isaacs     
Spring,JS144,A,4,MW, 2:30pm- 3:45pm,Introduction to the New Testament (See RE144),L, , ,0, , ,Emanuel    
